HADOOP-17898,duplicates,HADOOP-17563
HADOOP-17898,supercedes,HADOOP-15832
SPARK-36681,is caused by,HADOOP-17891
HADOOP-17893,duplicates,HDFS-14801
HADOOP-17893,relates to,HADOOP-17804
HADOOP-17893,relates to,HADOOP-16398
SPARK-36669,is related to,HADOOP-17891
SPARK-36669,relates to,SPARK-36679
HADOOP-17891,causes,SPARK-36681
HADOOP-17891,is duplicated by,HADOOP-17916
HADOOP-17891,is related to,HADOOP-17125
HADOOP-17891,is related to,HADOOP-17292
HADOOP-17891,relates to,SPARK-36669
HBASE-26253,is broken by,HADOOP-16676
HBASE-26253,is broken by,HADOOP-16152
HBASE-26253,relates to,HBASE-23834
HADOOP-17887,is related to,HADOOP-17825
HADOOP-17886,supercedes,HADOOP-17516
HADOOP-17885,is related to,HADOOP-17844
HDFS-16205,is a child of,HADOOP-17193
HADOOP-17884,Is contained by,HADOOP-16202
HADOOP-17883,Is contained by,HADOOP-16202
HADOOP-17882,Is contained by,HADOOP-16202
HADOOP-17880,depends upon,HADOOP-17978
YARN-10911,breaks,HADOOP-18021
HADOOP-17877,is caused by,HADOOP-17825
